,parameter,cum_return
0,"(20, 20)",-10.532100000000575
1,"(20, 21)",-5.299800000000502
2,"(20, 22)",8.969299999999564
3,"(20, 23)",2.8130999999992454
4,"(20, 24)",10.63289999999941
5,"(20, 25)",6.1303999999991134
6,"(20, 26)",12.75319999999926
7,"(20, 27)",8.963499999999165
8,"(20, 28)",13.42069999999947
9,"(20, 29)",8.882999999999662
10,"(20, 30)",12.559799999999449
11,"(21, 20)",-3.2464000000005413
12,"(21, 21)",0.6053999999994772
13,"(21, 22)",15.036099999999522
14,"(21, 23)",9.1926999999992
15,"(21, 24)",17.93199999999939
16,"(21, 25)",15.703499999999096
17,"(21, 26)",23.574399999999223
18,"(21, 27)",19.82399999999911
19,"(21, 28)",23.323499999999427
20,"(21, 29)",18.32939999999963
21,"(21, 30)",21.65379999999937
22,"(22, 20)",1.4732999999991847
23,"(22, 21)",4.234099999999202
24,"(22, 22)",18.013599999999272
25,"(22, 23)",12.138199999998953
26,"(22, 24)",21.098199999999146
27,"(22, 25)",18.004299999998786
28,"(22, 26)",27.045699999998916
29,"(22, 27)",23.174799999998804
30,"(22, 28)",26.338999999999103
31,"(22, 29)",21.00509999999928
32,"(22, 30)",24.30179999999904
33,"(23, 20)",1.0504999999991753
34,"(23, 21)",3.542699999999165
35,"(23, 22)",17.135299999999184
36,"(23, 23)",10.832499999998873
37,"(23, 24)",20.06629999999911
38,"(23, 25)",16.31669999999879
39,"(23, 26)",25.099899999998932
40,"(23, 27)",23.66609999999882
41,"(23, 28)",27.307499999999123
42,"(23, 29)",22.80099999999937
43,"(23, 30)",26.638299999999084
44,"(24, 20)",1.5492999999997394
45,"(24, 21)",3.1339999999997445
46,"(24, 22)",16.434899999999743
47,"(24, 23)",11.087199999999477
48,"(24, 24)",20.0037999999997
49,"(24, 25)",18.191699999999337
50,"(24, 26)",29.463499999999456
51,"(24, 27)",27.697199999999363
52,"(24, 28)",31.54489999999977
53,"(24, 29)",27.499199999999995
54,"(24, 30)",31.342599999999713
55,"(25, 20)",-3.2582000000003646
56,"(25, 21)",-0.8451000000002935
57,"(25, 22)",12.44899999999975
58,"(25, 23)",6.477399999999491
59,"(25, 24)",15.792999999999644
60,"(25, 25)",16.794899999999245
61,"(25, 26)",28.91809999999935
62,"(25, 27)",27.62519999999924
63,"(25, 28)",30.952299999999525
64,"(25, 29)",27.331899999999713
65,"(25, 30)",30.28489999999949
66,"(26, 20)",-0.6285000000005923
67,"(26, 21)",1.4729999999994945
68,"(26, 22)",14.480699999999437
69,"(26, 23)",7.954799999999111
70,"(26, 24)",16.98109999999931
71,"(26, 25)",17.663299999998884
72,"(26, 26)",29.746499999998953
73,"(26, 27)",27.2996999999988
74,"(26, 28)",30.496199999999007
75,"(26, 29)",27.19049999999917
76,"(26, 30)",30.126099999998964
77,"(27, 20)",2.364199999999528
78,"(27, 21)",4.75699999999955
79,"(27, 22)",18.995999999999498
80,"(27, 23)",11.677399999999217
81,"(27, 24)",21.416499999999445
82,"(27, 25)",23.41859999999911
83,"(27, 26)",33.71859999999924
84,"(27, 27)",33.16909999999913
85,"(27, 28)",35.16139999999934
86,"(27, 29)",32.863699999999426
87,"(27, 30)",35.714299999999255
88,"(28, 20)",-5.457600000000561
89,"(28, 21)",-3.006600000000539
90,"(28, 22)",11.244299999999406
91,"(28, 23)",4.2120999999991255
92,"(28, 24)",13.92719999999941
93,"(28, 25)",15.732399999998961
94,"(28, 26)",26.041499999999083
95,"(28, 27)",26.283999999999047
96,"(28, 28)",28.98439999999922
97,"(28, 29)",26.689499999999313
98,"(28, 30)",29.308899999999184
99,"(29, 20)",-0.4708000000007928
100,"(29, 21)",2.18839999999922
101,"(29, 22)",16.33109999999921
102,"(29, 23)",7.951299999998987
103,"(29, 24)",18.092799999999286
104,"(29, 25)",20.057699999998825
105,"(29, 26)",30.392599999998907
106,"(29, 27)",31.1085999999989
107,"(29, 28)",33.94959999999908
108,"(29, 29)",31.6751999999992
109,"(29, 30)",34.29459999999907
110,"(30, 20)",-1.9340000000006228
111,"(30, 21)",0.12589999999936197
112,"(30, 22)",14.304299999999373
113,"(30, 23)",7.077099999999135
114,"(30, 24)",17.165999999999364
115,"(30, 25)",19.39819999999891
116,"(30, 26)",30.719799999999033
117,"(30, 27)",31.390699999999008
118,"(30, 28)",33.17049999999919
119,"(30, 29)",30.062799999999328
120,"(30, 30)",32.6821999999992
