Datetime,AAPL,AMZN,MSFT,NVDA,TSLA,SPY,FSLR
2022-11-04 09:30:00-04:00,0,0,0,0,0,0,0
2022-11-04 09:35:00-04:00,0,0,0,0,0,0,0
2022-11-04 09:40:00-04:00,0,0,-1,0,0,0,-1
2022-11-04 09:45:00-04:00,0,-1,-1,0,0,-1,-1
2022-11-04 09:50:00-04:00,0,-1,-1,0,0,-1,-1
2022-11-04 09:55:00-04:00,0,-1,-1,0,1,-1,-1
2022-11-04 10:00:00-04:00,1,-1,0,0,1,0,-1
2022-11-04 10:05:00-04:00,1,-1,0,0,1,1,-1
2022-11-04 10:10:00-04:00,1,-1,0,0,1,2,-1
2022-11-04 10:15:00-04:00,1,-1,0,1,2,2,-1
2022-11-04 10:20:00-04:00,2,0,1,2,3,2,-1
2022-11-04 10:25:00-04:00,2,1,1,2,3,2,-1
2022-11-04 10:30:00-04:00,2,1,1,2,3,2,-1
2022-11-04 10:35:00-04:00,2,1,1,2,3,2,-2
2022-11-04 10:40:00-04:00,1,1,2,2,3,3,-3
2022-11-04 10:45:00-04:00,1,1,3,2,3,3,-3
2022-11-04 10:50:00-04:00,1,1,3,2,3,3,-3
2022-11-04 10:55:00-04:00,1,0,3,2,3,2,-3
2022-11-04 11:00:00-04:00,1,-1,3,2,3,2,-3
2022-11-04 11:05:00-04:00,1,-2,3,2,3,2,-4
